,cand_nm,economic_region,contb_receipt_dt_format,contb_receipt_amt
282,"Obama, Barack",Far West,2012-07-21 00:00:00,-1575.0
283,"Obama, Barack",Far West,2012-07-23 00:00:00,-965.5
284,"Obama, Barack",Far West,2012-07-24 00:00:00,-900.0
285,"Obama, Barack",Far West,2012-07-25 00:00:00,-1015.0
286,"Obama, Barack",Far West,2012-07-26 00:00:00,-550.0
287,"Obama, Barack",Far West,2012-07-27 00:00:00,-5295.0
288,"Obama, Barack",Far West,2012-07-28 00:00:00,-1110.0
289,"Obama, Barack",Far West,2012-07-30 00:00:00,-3054.5
290,"Obama, Barack",Far West,2012-07-31 00:00:00,-890.0
291,"Obama, Barack",Far West,2012-08-01 00:00:00,-2795.0
292,"Obama, Barack",Far West,2012-08-02 00:00:00,-12669.0
293,"Obama, Barack",Far West,2012-08-03 00:00:00,-5453.0
294,"Obama, Barack",Far West,2012-08-06 00:00:00,-4412.0
295,"Obama, Barack",Far West,2012-08-07 00:00:00,-7599.0
296,"Obama, Barack",Far West,2012-08-08 00:00:00,-820.0
297,"Obama, Barack",Far West,2012-08-09 00:00:00,-14317.0
298,"Obama, Barack",Far West,2012-08-10 00:00:00,-4005.0
299,"Obama, Barack",Far West,2012-08-11 00:00:00,-800.0
300,"Obama, Barack",Far West,2012-08-13 00:00:00,-3015.0
301,"Obama, Barack",Far West,2012-08-14 00:00:00,-1329.0
302,"Obama, Barack",Far West,2012-08-15 00:00:00,-12000.0
303,"Obama, Barack",Far West,2012-08-16 00:00:00,-1274.5900000000001
304,"Obama, Barack",Far West,2012-08-17 00:00:00,-1272.75
305,"Obama, Barack",Far West,2012-08-18 00:00:00,-7568.0
306,"Obama, Barack",Far West,2012-08-19 00:00:00,-25.0
307,"Obama, Barack",Far West,2012-08-20 00:00:00,-11632.0
308,"Obama, Barack",Far West,2012-08-21 00:00:00,-9467.0
309,"Obama, Barack",Far West,2012-08-22 00:00:00,-1250.0
310,"Obama, Barack",Far West,2012-08-23 00:00:00,-19467.0
311,"Obama, Barack",Far West,2012-08-24 00:00:00,-9694.0
312,"Obama, Barack",Far West,2012-08-25 00:00:00,-250.0
313,"Obama, Barack",Far West,2012-08-26 00:00:00,-96.75
314,"Obama, Barack",Far West,2012-08-27 00:00:00,-15476.0
315,"Obama, Barack",Far West,2012-08-28 00:00:00,-4080.25
316,"Obama, Barack",Far West,2012-08-29 00:00:00,-610.0
317,"Obama, Barack",Far West,2012-08-30 00:00:00,-1480.0
318,"Obama, Barack",Far West,2012-08-31 00:00:00,-10468.119999999999
319,"Obama, Barack",Far West,2012-09-01 00:00:00,-500.0
320,"Obama, Barack",Far West,2012-09-03 00:00:00,-12718.0
321,"Obama, Barack",Far West,2012-09-04 00:00:00,-1034.0
322,"Obama, Barack",Far West,2012-09-05 00:00:00,-2843.0
323,"Obama, Barack",Far West,2012-09-06 00:00:00,-5711.5
324,"Obama, Barack",Far West,2012-09-07 00:00:00,-1872.0
325,"Obama, Barack",Far West,2012-09-09 00:00:00,-10.0
326,"Obama, Barack",Far West,2012-09-10 00:00:00,-54921.0
327,"Obama, Barack",Far West,2012-09-11 00:00:00,-57075.0
328,"Obama, Barack",Far West,2012-09-12 00:00:00,-17737.35
329,"Obama, Barack",Far West,2012-09-13 00:00:00,-11447.119999999999
330,"Obama, Barack",Far West,2012-09-14 00:00:00,-5050.0
331,"Obama, Barack",Far West,2012-09-15 00:00:00,-2115.0
332,"Obama, Barack",Far West,2012-09-17 00:00:00,-14823.0
333,"Obama, Barack",Far West,2012-09-18 00:00:00,-1889.0
334,"Obama, Barack",Far West,2012-09-19 00:00:00,-5310.0
335,"Obama, Barack",Far West,2012-09-20 00:00:00,-1055.0
336,"Obama, Barack",Far West,2012-09-21 00:00:00,-9815.24
337,"Obama, Barack",Far West,2012-09-22 00:00:00,-10580.0
338,"Obama, Barack",Far West,2012-09-23 00:00:00,-600.0
339,"Obama, Barack",Far West,2012-09-24 00:00:00,-44337.0
340,"Obama, Barack",Far West,2012-09-25 00:00:00,-56295.0
341,"Obama, Barack",Far West,2012-09-26 00:00:00,-11522.0
342,"Obama, Barack",Far West,2012-09-27 00:00:00,-6902.0
343,"Obama, Barack",Far West,2012-09-28 00:00:00,-9466.0
344,"Obama, Barack",Far West,2012-09-29 00:00:00,-1071.0
345,"Obama, Barack",Far West,2012-09-30 00:00:00,-21475.0
